MUNICIPIO;GENERACION_TOTAL_KG
ACACIAS;109.97
AGUACHICA;5472.75
AGUAZUL;161.42
AGUSTIN CODAZZI;1527.7
AIPE;7632.0
ALBAN;126.00000000000001
ALBANIA;53810.0
ALCALA;16.0
ALVARADO;17.0
AMAGA;33.47
AMALFI;279.6
ANDALUCIA;100.97
ANGOSTURA;50.68
ANORI;235.70000000000002
ANSERMANUEVO;3.2
APARTADO;3094.73
ARACATACA;678.0
ARAUCA;5264.27
ARAUQUITA;20008.0
ARBOLETES;16.97
ARJONA;1246.6
ARMENIA;21695.54
ARMERO GUAYABAL;41.7
AYAPEL;16.97
BAHIA SOLANO;334.0
BALBOA;6096.1
BARANOA;67.0
BARBOSA;9200.619999999999
BARRANCA DE UPIA;297.0
BARRANCABERMEJA;143559.41999999998
BARRANQUILLA;270599.7
BELALCAZAR;2.5
BELEN DE UMBRIA;0.0
BELLO;99152.90000000001
BOAVITA;2.5
BOGOTA, D.C.;5801851.56
BOJACA;203.31
BOLIVAR;394.0
BRICENO;335.9
BUCARAMANGA;17047.85
BUENAVENTURA;13305.04
BUENAVISTA;33.94
BUESACO;11.4
BUGA;1646.81
BUGALAGRANDE;49.67
CABUYARO;575.0
CACERES;16.97
CAICEDONIA;56.1
CAJAMARCA;198.3
CAJICA;22875.78
CALARCA;147.7
CALDAS;3234.82
CALI;194195.01
CALIFORNIA;804.0
CALIMA;309.0
CALOTO;2967.3
CAMPOALEGRE;150.88
CANASGORDAS;1653.21
CANDELARIA;9236.35
CAQUEZA;24.2
CARACOLI;34.4
CAREPA;1705.1
CARMEN DE VIBORAL;18.0
CAROLINA;22.6
CARTAGENA DE INDIAS;446875.78
CARTAGO;3172.8
CASTILLA LA NUEVA;16.97
CAUCASIA;5815.67
CERETE;1456.5
CHAPARRAL;86.39
CHIA;20511.11
CHIGORODO;39.0
CHINCHINA;2522.46
CHIPAQUE;20.12
CHIQUINQUIRA;680.6899999999999
CHITA;6.0
CHOCONTA;2.2
CIENAGA;6238.8
CIENAGA DE ORO;778.57
CIMITARRA;792.1
CISNEROS;662.3000000000001
CLEMENCIA;291.0
COELLO;42.7
COGUA;963.5
COLOMBIA;8.5
COPACABANA;32410.28
CORDOBA;54.0
COROZAL;285.97
COTA;50424.84
CUCUNUBA;0.0
CUCUTA;63678.07
CUMBAL;75.7
DABEIBA;69.9
DAGUA;1322.0
DIBULLA;8177.610000000001
DONMATIAS;2027.5700000000002
DOS QUEBRADAS;4293.99
DOSQUEBRADAS;81696.25
DUITAMA;22510.53
EL BAGRE;10903.58
EL CAIRO;3.4
EL CARMEN DE ATRATO;5.6
EL CARMEN DE BOLIVAR;12.0
EL CARMEN DE VIBORAL;194.81
EL CERRITO;853.0
EL PASO;16788.0
EL PLAYON;110.22999999999999
EL RETEN;308.0
EL ROSAL;1872.35
EL SANTUARIO;2851.6
EL TAMBO;12.0
EL TARRA;56.0
ENTRERRIOS;203.57
ENVIGADO;38893.509999999995
ESPINAL;6090.9800000000005
FACATATIVA;10321.34
FALAN;5.2
FIRAVITOBA;72.2
FLANDES;0.0
FLORENCIA;780.5999999999999
FLORIDA;897.6999999999999
FLORIDABLANCA;2474.53
FONSECA;347.12
FRESNO;268.58000000000004
FRONTINO;4.0
FUNES;2.0
FUNZA;168816.11
FUQUENE;189.0
FUSAGASUGA;2255.12
GACHANCIPA;90.1
GALAPA;12717.55
GALERAS;16.97
GARAGOA;50.4
GARZON;623.45
GIGANTE;33.0
GINEBRA;975.1
GIRARDOT;5555.3
GIRARDOTA;10022.36
GIRON;13970.609999999999
GOMEZ PLATA;91.2
GRANADA;37.540000000000006
GUACARI;1427.7
GUACHENE;6275.4
GUADALAJARA DE BUGA;19225.68
GUADALUPE;150.4
GUADUAS;12058.2
GUAMO;14.0
GUARNE;81487.64
GUASCA;265.95
GUATAVITA;5863.0
GUATEQUE;451.75
GUAYABETAL;4.7
HERVEO;223.79999999999998
HONDA;67.41
IBAGUE;19289.92
INIRIDA;699.0
IPIALES;10867.94
ITAGUI;87547.67
JAMUNDI;2224.75
JERICO;394.97
LA APARTADA;145.97
LA ARGENTINA;1.0
LA CALERA;9088.71
LA CAPILLA;20.5
LA CEJA;1195.2
LA CUMBRE;100.0
LA DORADA;609.55
LA ESTRELLA;12949.3
LA GLORIA;815.0
LA JAGUA DE IBIRICO;13.7
LA MESA;10.620000000000001
LA PINTADA;19.6
LA PLATA;915.1
LA TEBAIDA;173.48
LA UNION;382.55
LA VICTORIA;16.97
LA VIRGINIA;171.01
LEBRIJA;149.8
LENGUAZAQUE;1158.0
LERIDA;1.5
LETICIA;586.09
LIBANO;16.97
LORICA;16.97
LOS PATIOS;80.9
LURUACO;16.97
MACANAL;17.0
MACEO;16.97
MADRID;68360.03
MAGANGUE;50.91
MAHATES;34.0
MAICAO;70.0
MALAGA;31.2
MALAMBO;21603.26
MANAURE;490.0
MANI;88.58
MANIZALES;81201.72
MANZANARES;205.0
MARIA LA BAJA;85.97
MARINILLA;2972.0
MARIQUITA;452.8
MARSELLA;16.0
MEDELLIN;356337.77999999997
MELGAR;61.660000000000004
MIRAFLORES;3.7
MIRANDA;2412.6
MITU;106.25
MOCOA;1699.75
MONTECRISTO;16.97
MONTELIBANO;4065.92
MONTENEGRO;66.0
MONTERIA;17565.010000000002
MONTERREY;140.97
MOSQUERA;26812.74
MUZO;90.0
NECHI;16.97
NEIRA;280.0
NEIVA;60913.29000000001
NEMOCON;183.8
NILO;760.47
NOBSA;29910.0
NORCASIA;2859.9
OBANDO;16.97
OCANA;6683.3
ORITO;262.2
OROCUE;818.2
OVEJAS;3.0
PACHO;10.0
PAIPA;7259.32
PALERMO;402.97
PALMIRA;28341.67
PAMPLONA;193.5
PASCA;6.6
PASTO;92388.33
PATIA;3.9
PAZ DE ARIPORO;156.97
PAZ DE RIO;87.8
PEREIRA;256390.95
PESCA;329.85
PIAMONTE;319.0
PIEDECUESTA;355.84
PIEDRAS;436.0
PIENDAMO - TUNIA;0.09
PITALITO;1887.5300000000002
PLANETA RICA;441.19
PLATO;13.0
POPAYAN;5631.05
PORE;16.97
POTOSI;7.6
PRADERA;20.0
PRADO;34.0
PUEBLO NUEVO;16.97
PUERRES;1560.0
PUERTO ASIS;2488.0
PUERTO BERRIO;2498.5
PUERTO BOYACA;3295.1000000000004
PUERTO CARRENO;23.0
PUERTO COLOMBIA;1799.9
PUERTO GAITAN;11106.67
PUERTO LIBERTADOR;764.97
PUERTO LOPEZ;2294.44
PUERTO NARE;208.6
PUERTO RICO;34.0
PUERTO SALGAR;802.0
PUERTO TEJADA;3271.2
PUERTO TRIUNFO;50.519999999999996
PUERTO WILCHES;470.0
PURIFICACION;1291.0
PURISIMA DE LA CONCEPCION;16.97
QUIBDO;1197.5
QUIMBAYA;558.0
QUINCHIA;888.27
RAQUIRA;14.0
REPELON;16.97
RETIRO;230.97
RICAURTE;1189.8
RIO DE ORO;496.0
RIOHACHA;1516.3
RIONEGRO;14631.49
RIVERA;96.5
SABANALARGA;325.97
SABANETA;9680.7
SAHAGUN;144.01
SALDANA;73.1
SAMACA;262.0
SAMANIEGO;2.9
SAN ALBERTO;94.0
SAN ANDRES;586.23
SAN ANDRES DE TUMACO;1043.27
SAN BERNARDO DEL VIENTO;19.47
SAN CARLOS;5485.0599999999995
SAN CARLOS DE GUAROA;176.0
SAN ESTANISLAO;16.97
SAN GIL;893.45
SAN JOSE DE URE;16.97
SAN JOSE DEL GUAVIARE;36.6
SAN JUAN DE RIOSECO;0.76
SAN LUIS DE SINCE;16.97
SAN MARCOS;16.97
SAN MARTIN;798.0
SAN ONOFRE;16.97
SAN PEDRO;668.1
SAN PEDRO DE LOS MILAGROS;155.97
SAN RAFAEL;4024.0
SAN ROQUE;54.89
SAN SEBASTIAN DE MARIQUITA;83.77
SAN VICENTE DE CHUCURI;35.0
SANTA ANA;16.97
SANTA FE DE ANTIOQUIA;191.70000000000002
SANTA MARTA;6811.54
SANTA ROSA DE CABAL;879.1800000000001
SANTA ROSA DE OSOS;112.50999999999999
SANTA ROSALIA;0.0
SANTANDER DE QUILICHAO;5152.55
SANTO DOMINGO;138.3
SANTO TOMAS;8.0
SARAVENA;675.3
SASAIMA;4.03
SEGOVIA;2121.5
SESQUILE;529.53
SEVILLA;214.9
SIACHOQUE;8.05
SIBATE;9605.939999999999
SILVANIA;0.4
SIMIJACA;18.5
SINCELEJO;12297.589999999998
SITIONUEVO;431.0
SOACHA;96402.81999999999
SOATA;755.3000000000001
SOCHA;31.0
SOCORRO;121.97
SOCOTA;82.85
SOGAMOSO;9325.98
SOLEDAD;113475.4
SONSON;830.84
SOPO;3361.5299999999997
SUAREZ;608.0
SUBACHOQUE;40.0
SUESCA;2290.81
SUPATA;180.1
TABIO;75.0
TAME;604.4000000000001
TAMESIS;143.4
TANGUA;42.6
TARAZA;50.91
TAURAMENA;287.0
TAUSA;588.0
TELLO;2.5
TENA;0.22
TENJO;14008.36
TESALIA;81.0
TIBACUY;2.92
TIBASOSA;340.0
TIBU;81.0
TIERRALTA;1143.94
TIMANA;60.75
TIMBIO;2.5
TOCA;115.6
TOCANCIPA;68125.63
TOLEDO;184.1
TOLU VIEJO;726.97
TRINIDAD;50.0
TRUJILLO;1.0
TULUA;11962.86
TUMACO;47.0
TUNJA;20830.52
TUNUNGUA;6.6
TUQUERRES;62.099999999999994
TURBACO;49.5
TURBANA;223.5
TURBO;882.22
UBATE;27.7
UNE;38.5
URRAO;43.19
VALDIVIA;16.97
VALLEDUPAR;3820.53
VALPARAISO;4.0
VELEZ;1546.0
VENTAQUEMADA;54.0
VERSALLES;13.4
VIJES;5.0
VILLA DE SAN DIEGO DE UBATE;130.11
VILLA RICA;3942.64
VILLAMARIA;1401.15
VILLANUEVA;1375.87
VILLAPINZON;12.0
VILLAVICENCIO;42253.07
VILLETA;1081.44
VITERBO;1.7
YARUMAL;2.8
YONDO;7549.9
YOPAL;8916.54
YOTOCO;34.0
YUMBO;160789.05
ZARAGOZA;33.94
ZARZAL;5612.5
ZIPAQUIRA;768.98
ZONA BANANERA;224.8
